…	SE
1360	SN
1362	SN
1363	SN
1364	SN
1365	SN
1368	SN
137	SN
137.8	SN
1370	SN
1374	SN
1375	SN
1377	SN
1378	SN
1379	SN
138	SN
1380	SN
1382	SN
1387	SN
1388	SN
1389	SN
139	SN
1390	SN
1391	SN
1392	SN
1393	SN
1394	SN
1395	SN
1396	SN
1398	SN
14	SN
14.0	SN
14.1	SN
14.2	SN
14.3	SN
14.4	SN
14.5	SN
14.559	SN
14.6	SN
14.60	SN
14.7	SN
14.8	SN
14.9	SN
14.95	SN
140	SN
1400	SN
1406	SN
1407	SN
1408	SN
1409	SN
141	SN
1411	SN
1413	SN
1415	SN
141569	SN
1417	SN
1418	SN
1419	SN
142	SN
1420	SN
1421	SN
1423	SN
1425	SN
1427	SN
143	SN
143.8	SN
143.9	SN
1430	SN
1431	SN
1434	SN
1436	SN
1437	SN
1439	SN
144	SN
1440	SN
1442	SN
1443	SN
1444	SN
1445	SN
1446	SN
1447	SN
1449	SN
145	SN
1450	SN
1453	SN
1455	SN
1456	SN
1457	SN
1458	SN
1459	SN
146	SN
1460	SN
1462	SN
1463	SN
1464	SN
1465	SN
1466	SN
1467	SN
1468	SN
1469	SN
147	SN
147.3	SN
1472	SN
1473	SN
1476	SN
1477	SN
1478	SN
1479	SN
148	SN
1480	SN
1482	SN
1483	SN
1484	SN
1485	SN
1488	SN
1489	SN
149	SN
149.0	SN
149.6	SN
1490	SN
1492	SN
1493	SN
1494	SN
1497	SN
1498	SN
1499	SN
15	SN
15,000	SN
15,867	SN
15.0	SN
15.1	SN
15.10	SN
15.2	SN
15.3	SN
15.30	SN
15.4	SN
15.5	SN
15.6	SN
15.7	SN
15.8	SN
15.85	SN
15.9	SN
150	SN
1500	SN
1501	SN
1502	SN
1504	SN
1506	SN
1507	SN
1508	SN
151	SN
1510	SN
1511	SN
1512	SN
1514	SN
1517	SN
1518	SN
1519	SN
152	SN
152.4	SN
152.50	SN
1520	SN
1521	SN
1522	SN
1523	SN
1524	SN
1526	SN
153	SN
1530	SN
1533	SN
1534	SN
1535	SN
1536	SN
1538	SN
154	SN
1540	SN
1541	SN
1542	SN
1543	SN
1545	SN
1546	SN
1547	SN
1548	SN
1549	SN
155	SN
1550	SN
1552	SN
1553	SN
1557	SN
156	SN
1562	SN
1564	SN
1566	SN
1569	SN
157	SN
1570	SN
1571	SN
1572	SN
1573	SN
1575	SN
1576	SN
1577	SN
1579	SN
158	SN
158.9	SN
1580	SN
1581	SN
1582	SN
1583	SN
1584	SN
1585	SN
1586	SN
1587	SN
1588	SN
1589	SN
159	SN
1590	SN
1591	SN
1592	SN
1594	SN
1595	SN
1596	SN
1597	SN
1598	SN
16	SN
16.0	SN
16.2	SN
16.29	SN
16.3	SN
16.33	SN
16.4	SN
16.5	SN
16.57	SN
16.6	SN
16.63	SN
16.65	SN
16.7	SN
16.8	SN
16.80	SN
16.9	SN
160	SN
1600	SN
1602	SN
1603	SN
1604	SN
1605	SN
1606	SN
1607	SN
1608	SN
161	SN
1610	SN
1612	SN
1616	SN
1618	SN
162	SN
162.6	SN
1621	SN
1623	SN
1624	SN
1625	SN
1626	SN
1627	SN
1628	SN
1629	SN
163	SN
1630	SN
1631	SN
1632	SN
1633	SN
1636	SN
1638	SN
164	SN
1640	SN
1641	SN
1642	SN
1643	SN
1644	SN
1647	SN
1648	SN
1649	SN
165	SN
165.1	SN
1650	SN
1653	SN
1654	SN
1655	SN
1656	SN
1658	SN
166	SN
1662	SN
1663	SN
1665	SN
1666	SN
1667	SN
1668	SN
1669	SN
167	SN
1670	SN
1672	SN
1673	SN
1675	SN
1676	SN
1677	SN
1678	SN
1679	SN
168	SN
1680	SN
1681	SN
1682	SN
1684	SN
1685	SN
1686	SN
1687	SN
1688	SN
1689	SN
169	SN
1693	SN
1694	SN
1695	SN
1696	SN
1697	SN
17	SN
17.0	SN
17.2	SN
17.3	SN
17.4	SN
17.42	SN
17.5	SN
17.6	SN
17.7	SN
17.8	SN
17.9	SN
170	SN
1700	SN
1702	SN
1703	SN
1706	SN
1707	SN
171	SN
1710	SN
1712	SN
1713	SN
1714	SN
172	SN
1720	SN
1723	SN
1724	SN
1725	SN
1727	SN
1728	SN
1729	SN
173	SN
1732	SN
1733	SN
1734	SN
1737	SN
174	SN
1741	SN
1742	SN
1745	SN
1746	SN
1747	SN
1748	SN
1749	SN
175	SN
1750	SN
1752	SN
1754	SN
1756	SN
1758	SN
1759	SN
176	SN
1760	SN
1761	SN
1762	SN
1763	SN
1764	SN
1765	SN
1766	SN
1769	SN
177	SN
1770	SN
1771	SN
1772	SN
1774	SN
1775	SN
1777	SN
1778	SN
1779	SN
178	SN
178.9	SN
1780	SN
1781	SN
1783	SN
1784	SN
1786	SN
1787	SN
1788	SN
1789	SN
1790	SN
1791	SN
1792	SN
1793	SN
1794	SN
1795	SN
1796	SN
1797	SN
1798	SN
18	SN
18.1	SN
18.2	SN
18.3	SN
18.4	SN
18.5	SN
18.6	SN
18.7	SN
18.8	SN
18.82	SN
18.9	SN
180	SN
1800	SN
1801	SN
1802	SN
1803	SN
1804	SN
1805	SN
1806	SN
1807	SN
1808	SN
1809	SN
181	SN
1811	SN
1812	SN
1813	SN
1814	SN
1815	SN
1816	SN
1817	SN
1818	SN
1819	SN
182	SN
1820	SN
1821	SN
1824	SN
1825	SN
1826	SN
1828	SN
1829	SN
183	SN
183.6	SN
1830	SN
1831	SN
1832	SN
1833	SN
1834	SN
1835	SN
1836	SN
1837	SN
1838	SN
1839	SN
1840	SN
1841	SN
1842	SN
1843	SN
1844	SN
1845	SN
1846	SN
1847	SN
1848	SN
1849	SN
185	SN
1850	SN
1851	SN
1852	SN
1853	SN
1854	SN
1855	SN
1856	SN
1857	SN
1859	SN
186	SN
1860	SN
1861	SN
1862	SN
1863	SN
1864	SN
1865	SN
1866	SN
1867	SN
1868	SN
1869	SN
1870	SN
1871	SN
1872	SN
1873	SN
1874	SN
1875	SN
1876	SN
1877	SN
1878	SN
1879	SN
188	SN
1880	SN
1881	SN
1881.12.2	SN
1882	SN
1883	SN
1883.1.11	SN
1884	SN
1885	SN
1886	SN
1887	SN
1888	SN
1889	SN
189	SN
1890	SN
1891	SN
1892	SN
1893	SN
1894	SN
1895	SN
1896	SN
1897	SN
1898	SN
1899	SN
19	SN
19.0	SN
19.2	SN
19.3	SN
19.40	SN
19.5	SN
19.6	SN
19.7	SN
19.8	SN
19.9	SN
190	SN
1900	SN
1901	SN
1902	SN
1903	SN
1904	SN
1905	SN
1906	SN
1907	SN
1908	SN
1909	SN
191	SN
1910	SN
1911	SN
1912	SN
1913	SN
1914	SN
1915	SN
1916	SN
1917	SN
1918	SN
1919	SN
192	SN
1920	SN
1920.3	SN
1920.7	SN
1921	SN
1921.4	SN
1922	SN
1923	SN
1924	SN
1925	SN
1926	SN
1927	SN
1928	SN
1929	SN
193	SN
1930	SN
1930.7.24	SN
1931	SN
1931.1.14	SN
1931.12.1	SN
1931.2.11	SN
1932	SN
1933	SN
1934	SN
1934.11.14	SN
1935	SN
1936	SN
1937	SN
1938	SN
1939	SN
194	SN
1940	SN
1941	SN
1942	SN
1943	SN
1944	SN
1945	SN
1945.8	SN
1946	SN
1947	SN
1948	SN
1948.8	SN
1949	SN
195	SN
1950	SN
1951	SN
1952	SN
1953	SN
1954	SN
1955	SN
1956	SN
1957	SN
1958	SN
1959	SN
196	SN
1960	SN
1961	SN
1962	SN
1963	SN
1964	SN
1965	SN
1966	SN
1967	SN
1968	SN
1969	SN
197	SN
1970	SN
1971	SN
1972	SN
1973	SN
1974	SN
1974.6	SN
1975	SN
1976	SN
1977	SN
1977.5	SN
1978	SN
1979	SN
198	SN
1980	SN
1980.4	SN
1981	SN
1981.7	SN
1982	SN
1982.12	SN
1982.5	SN
1982.7.3	SN
1982.8.17	SN
1983	SN
1983.12	SN
1984	SN
1985	SN
1985.4	SN
1985.9	SN
1986	SN
1987	SN
1988	SN
1988.7.29	SN
1989	SN
1989.1	SN
1989.1.10	SN
1989.10	SN
1989.3.25	SN
1989.4.11	SN
1989.8.9	SN
199	SN
1990	SN
1990.4.4	SN
1990.4.6	SN
1990.7.27	SN
1991	SN
1991.6.6	SN
1992	SN
1993	SN
1994	SN
1995	SN
1996	SN
1997	SN
1997.9.26	SN
1998	SN
1998.8	SN
1999	SN
1999.7	SN
2	SN
2,000	SN
2,016	SN
2,150	SN
2,200	SN
2,267,384,000	SN
2,305	SN
2,380	SN
2,500	SN
2,600	SN
2,700	SN
2,800	SN
2,900	SN
2,909,484,000	SN
2,940	SN
2.0	SN
2.0164	SN
2.04	SN
2.046	SN
2.06	SN
2.1	SN
2.11	SN
2.13	SN
2.143	SN
2.147	SN
2.19	SN
2.2	SN
2.20	SN
2.23	SN
2.236	SN
2.236067	SN
2.2360679	SN
2.24	SN
2.25	SN
2.26	SN
2.27	SN
2.28	SN
2.3	SN
2.3.4.14.15	SN
2.30	SN
2.34	SN
2.349489	SN
2.38	SN
2.4	SN
2.439489	SN
2.448489	SN
2.449389	SN
2.449489	SN
2.5	SN
2.51	SN
2.54	SN
2.57	SN
2.6	SN
2.61	SN
2.68	SN
2.7	SN
2.75	SN
2.78	SN
2.79	SN
2.8	SN
2.86	SN
2.88	SN
2.9	SN
20	SN
20.0	SN
20.20	SN
20.3	SN
20.4	SN
20.5	SN
20.6	SN
20.9	SN
200	SN
2000	SN
2001	SN
2001,300	SN
2001.5.29	SN
2002	SN
2003	SN
2004	SN
2005	SN
2006	SN
2007	SN
2008	SN
201	SN
2010	SN
2011	SN
2015	SN
202	SN
2020	SN
203	SN
203.255.112.9	SN
204	SN
204.1	SN
2048	SN
205	SN
2052	SN
2056	SN
20571	SN
2058	SN
206	SN
20659148	SN
207	SN
207.5	SN
208	SN
208.3	SN
209	SN
2099	SN
21	SN
21.0	SN
21.03	SN
21.1	SN
21.2	SN
21.3	SN
21.4	SN
21.5	SN
21.6	SN
21.7	SN
21.8	SN
21.9	SN
21.90	SN
210	SN
210.6	SN
211	SN
212	SN
213	SN
2132	SN
2135	SN
2137	SN
214	SN
215	SN
2150	SN
216	SN
2166	SN
21693	SN
217	SN
218	SN
219	SN
2191	SN
22	SN
22.1	SN
22.2	SN
22.20	SN
22.3	SN
22.4	SN
22.44	SN
22.5	SN
22.7	SN
22.8	SN
22.9	SN
220	SN
2200	SN
2202	SN
2204	SN
221	SN
2212	SN
222	SN
223	SN
2230	SN
224	SN
225	SN
2250	SN
226	SN
227	SN
227.0	SN
2274	SN
228	SN
229	SN
2291	SN
23	SN
23.1	SN
23.3	SN
23.4	SN
23.5	SN
23.50	SN
23.6	SN
23.7	SN
23.70	SN
23.9	SN
230	SN
230.0	SN
2303	SN
231	SN
2312	SN
232	SN
233	SN
233.3	SN
2333	SN
234	SN
2349	SN
235	SN
2350	SN
236	SN
236035	SN
2363	SN
237	SN
238	SN
23899	SN
239	SN
24	SN
24.0	SN
24.1	SN
24.2	SN
24.3	SN
24.4	SN
24.5	SN
24.6	SN
24.7	SN
24.8	SN
24.9	SN
240	SN
2400	SN
241	SN
2410	SN
2411	SN
242	SN
2425	SN
2426	SN
243	SN
2430	SN
244	SN
245	SN
2451	SN
2452	SN
246	SN
247	SN
248	SN
2486	SN
249	SN
25	SN
25,000	SN
25,104	SN
25.0	SN
25.09	SN
25.1	SN
25.4	SN
25.57	SN
25.6	SN
25.7	SN
25.81	SN
25.9	SN
250	SN
2500	SN
25000	SN
25018	SN
251	SN
2515	SN
252	SN
253	SN
2535	SN
255	SN
256	SN
2561	SN
2565	SN
257	SN
258	SN
2580	SN
259	SN
2590	SN
26	SN
26.0	SN
26.04	SN
26.05	SN
26.2	SN
26.3	SN
26.4	SN
26.66	SN
26.7	SN
26.8	SN
26.9	SN
260	SN
2600	SN
263	SN
2633	SN
265	SN
266	SN
269	SN
2695	SN
27	SN
27,500	SN
27.1	SN
27.3	SN
27.5	SN
27.6	SN
27.7	SN
27.9	SN
270	SN
2700	SN
271	SN
272	SN
273	SN
273.16	SN
2735	SN
274	SN
275	SN
275.00	SN
2750	SN
276	SN
27758	SN
278	SN
279	SN
28	SN
28.0	SN
28.2	SN
28.4	SN
28.5	SN
28.6	SN
28.61	SN
28.8	SN
28.98	SN
280	SN
2800	SN
281	SN
281.9	SN
282	SN
2825	SN
283	SN
284	SN
2840	SN
285	SN
286	SN
287	SN
2874	SN
2876	SN
2880	SN
289	SN
29	SN
29.0	SN
29.1	SN
29.2	SN
29.3	SN
29.5	SN
29.53	SN
29.6	SN
29.665	SN
29.7	SN
29.8	SN
29.9	SN
290	SN
2900	SN
291	SN
29123	SN
294	SN
294.5	SN
295.5	SN
296	SN
2966	SN
297	SN
298	SN
299	SN
2992	SN
3	SN
3,000	SN
3,156	SN
3,180	SN
3,185	SN
3,200	SN
3,282	SN
3,300	SN
3,333	SN
3,500	SN
3,600	SN
3,613	SN
3,800	SN
3,836	SN
3.0	SN
3.07	SN
3.1	SN
3.10	SN
3.146	SN
3.15	SN
3.16	SN
3.2	SN
3.25	SN
3.3	SN
3.32	SN
3.4	SN
3.4.1	SN
3.4.2	SN
3.4.3	SN
3.4.5	SN
3.40	SN
3.42	SN
3.45	SN
3.46	SN
3.47	SN
3.5	SN
3.5.6	SN
3.58	SN
3.6	SN
3.62	SN
3.65	SN
3.7	SN
3.8	SN
3.80	SN
3.82	SN
3.89	SN
3.9	SN
3.93	SN
3.95	SN
30	SN
30.1	SN
30.2	SN
30.4	SN
30.6	SN
30.8	SN
30.9	SN
300	SN
3000	SN
3002	SN
3008	SN
301	SN
301,302	SN
3012	SN
301302	SN
3018	SN
302	SN
302.2	SN
303	SN
3031	SN
3032	SN
3033	SN
304	SN
305	SN
306	SN
307	SN
3072	SN
308	SN
309	SN
31	SN
31.1	SN
31.2	SN
31.42	SN
31.6	SN
31.8	SN
310	SN
311	SN
3111	SN
3114	SN
312	SN
313	SN
314	SN
3141	SN
315	SN
316	SN
317	SN
318	SN
3185	SN
319	SN
3191	SN
32	SN
32.0	SN
32.1	SN
32.2	SN
32.4	SN
32.5	SN
32.6	SN
32.7	SN
32.8	SN
32.80	SN
32.9	SN
320	SN
3200	SN
32000	SN
3202	SN
321	SN
322	SN
323	SN
324	SN
3240	SN
325	SN
326	SN
326.7	SN
327	SN
328	SN
3283	SN
3287	SN
329	SN
33	SN
33.1	SN
33.2	SN
33.3	SN
33.5	SN
33.6	SN
33.7	SN
33.8	SN
33.89	SN
330	SN
3300	SN
3301	SN
3304	SN
331	SN
332	SN
332.4	SN
3329	SN
333	SN
3333	SN
334	SN
335	SN
3350	SN
3353	SN
336	SN
337	SN
338	SN
339	SN
3391	SN
34	SN
34.0	SN
34.1	SN
34.3	SN
34.35	SN
34.5	SN
34.6	SN
34.62	SN
34.8	SN
34.92	SN
340	SN
3400	SN
3410	SN
3415	SN
3416	SN
343	SN
3431	SN
344	SN
344.91	SN
3442	SN
3443	SN
3444	SN
3452	SN
3459	SN
346	SN
3463	SN
347	SN
3470	SN
3475	SN
3477	SN
348	SN
3480	SN
3486	SN
349	SN
349.49	SN
3491	SN
35	SN
35.1	SN
35.2	SN
35.3	SN
35.5	SN
35.7	SN
35.8	SN
350	SN
350.68	SN
3500	SN
351	SN
3511	SN
3515	SN
3523	SN
3525	SN
353	SN
354	SN
3549	SN
355	SN
356	SN
3560	SN
359	SN
36	SN
36.1	SN
36.2	SN
36.3	SN
36.34	SN
36.4	SN
36.5	SN
36.6	SN
36.8	SN
360	SN
3600	SN
361	SN
361.6	SN
3624	SN
363	SN
364	SN
365	SN
365.2422	SN
365.245	SN
365.8	SN
3654	SN
366	SN
367	SN
3672	SN
368	SN
369	SN
37	SN
37.0	SN
37.2	SN
37.20	SN
37.5	SN
37.6	SN
37.7	SN
37.8	SN
370	SN
3707	SN
371	SN
371.4	SN
372	SN
3720	SN
3726	SN
373	SN
3741	SN
3750	SN
376	SN
377.8	SN
3777	SN
378	SN
38	SN
38.1	SN
38.5	SN
38.7	SN
38.8	SN
38.9	SN
380	SN
3800	SN
38191	SN
382	SN
38214	SN
38217	SN
383	SN
384	SN
385	SN
385.9	SN
386	SN
387	SN
388	SN
3880	SN
389	SN
39	SN
39.1	SN
39.2	SN
39.3	SN
39.4	SN
39.5	SN
39.7	SN
39.8	SN
39.80	SN
39.9	SN
39.95	SN
390	SN
390.32	SN
3900	SN
391	SN
392	SN
3920	SN
3921	SN
393	SN
393.5	SN
3937	SN
394	SN
3941	SN
395	SN
396	SN
3966	SN
397	SN
397.1	SN
398.5	SN
3984	SN
3986	SN
399	SN
3991	SN
4	SN
4,000	SN
4,002	SN
4,037	SN
4,131	SN
4,139	SN
4,180	SN
4,200	SN
4,276	SN
4,300	SN
4,400	SN
4,410	SN
4,440	SN
4,500	SN
4,700	SN
4,800	SN
4.0	SN
4.00	SN
4.01	SN
4.05	SN
4.06	SN
4.1	SN
4.11	SN
4.13	SN
4.15	SN
4.16	SN
4.18	SN
4.19	SN
4.2	SN
4.24	SN
4.25	SN
4.27	SN
4.3	SN
4.3.1	SN
4.3.2	SN
4.3.3	SN
4.31	SN
4.4	SN
4.40	SN
4.5	SN
4.50	SN
4.58	SN
4.59	SN
4.6	SN
4.60	SN
4.7	SN
4.73	SN
4.79	SN
4.8	SN
4.87	SN
4.89	SN
4.9	SN
4.96	SN
40	SN
40.1	SN
40.3	SN
40.5	SN
40.7	SN
40.8	SN
40.9	SN
40.90	SN
400	SN
4000	SN
4001	SN
401	SN
4012	SN
402	SN
403	SN
404	SN
4040	SN
405	SN
4050	SN
406	SN
407	SN
408	SN
4081	SN
4084	SN
409	SN
41	SN
41.09	SN
41.1	SN
41.3	SN
41.7	SN
41.8	SN
41.9	SN
410	SN
411	SN
412	SN
413	SN
415	SN
416	SN
4170	SN
418	SN
4188	SN
419	SN
42	SN
42.195	SN
42.4	SN
42.5	SN
42.7	SN
42.9	SN
420	SN
4200	SN
421	SN
423	SN
4237	SN
424	SN
424.6	SN
425	SN
427	SN
428	SN
4282	SN
429	SN
4292	SN
43	SN
43.1	SN
43.2	SN
43.3	SN
43.5	SN
43.6	SN
43.8	SN
430	SN
4300	SN
4312	SN
432	SN
4325	SN
433	SN
4330	SN
434	SN
434.4	SN
435	SN
436	SN
437	SN
4372	SN
438	SN
439	SN
44	SN
44.0	SN
44.1	SN
44.3	SN
44.4	SN
44.5	SN
44.6	SN
44.7	SN
44.736	SN
44.75	SN
44.8	SN
44.9	SN
440	SN
4401	SN
4405	SN
441	SN
442	SN
443	SN
444	SN
4463	SN
448	SN
4480	SN
449	SN
45	SN
45.2	SN
45.25	SN
45.5	SN
45.6	SN
45.7	SN
45.8	SN
450	SN
4500	SN
4505	SN
4510	SN
452	SN
453	SN
4540	SN
456	SN
457	SN
458	SN
4587	SN
46	SN
46.1	SN
46.2	SN
46.20	SN
46.3	SN
46.5	SN
46.9	SN
460	SN
4600	SN
46001	SN
4602	SN
462	SN
463.8	SN
464	SN
465	SN
466	SN
4660	SN
4686	SN
469	SN
4696	SN
47	SN
47.0	SN
47.1	SN
47.4	SN
47.5	SN
47.9	SN
470	SN
4715	SN
472	SN
47235288	SN
474	SN
475	SN
476	SN
477	SN
478	SN
479	SN
4796	SN
48	SN
48.1	SN
48.2	SN
48.3	SN
48.5	SN
48.6	SN
48.9	SN
48.95	SN
480	SN
4800	SN
4809	SN
481	SN
483	SN
484	SN
485	SN
4851	SN
486	SN
4880	SN
49	SN
49.2	SN
49.5	SN
49.6	SN
49.7	SN
49.9	SN
49.98	SN
490	SN
4900	SN
492	SN
493	SN
494.07	SN
4941	SN
4949	SN
495	SN
4959	SN
4967	SN
497	SN
498	SN
499	SN
5	SN
5,000	SN
5,087	SN
5,100	SN
5,600	SN
5,718	SN
5.0	SN
5.04	SN
5.1	SN
5.10	SN
5.16	SN
5.17	SN
5.18	SN
5.2	SN
5.20	SN
5.21	SN
5.27	SN
5.3	SN
5.35	SN
5.4	SN
5.40	SN
5.42	SN
5.45	SN
5.5	SN
5.6	SN
5.7	SN
5.70	SN
5.72	SN
5.76	SN
5.8	SN
5.80	SN
5.9	SN
5.91	SN
50	SN
50.0	SN
50.2	SN
50.4	SN
50.5	SN
50.8	SN
500	SN
5000	SN
5001	SN
501	SN
502	SN
503	SN
5033	SN
5035	SN
505	SN
5054	SN
506	SN
5060	SN
507	SN
5079	SN
508	SN
509	SN
51	SN
51.2	SN
51.4	SN
51.5	SN
51.6	SN
510	SN
511	SN
5110	SN
5114	SN
512	SN
5123	SN
5136	SN
514	SN
515	SN
516	SN
517	SN
518	SN
519	SN
52	SN
52.4	SN
52.6	SN
52.9	SN
520	SN
5200	SN
5205	SN
521	SN
522	SN
5220	SN
523	SN
525	SN
526	SN
527	SN
528	SN
5281	SN
529	SN
53	SN
53.0	SN
53.1	SN
53.3	SN
53.8	SN
53.9	SN
530	SN
5303	SN
534.6	SN
5340	SN
5343	SN
535	SN
536	SN
537	SN
5373	SN
538	SN
539	SN
5390	SN
54	SN
54.2	SN
54.4	SN
54.5	SN
54.6	SN
54.7	SN
54.8	SN
540	SN
5400	SN
542	SN
543	SN
544	SN
544.97	SN
5452	SN
546	SN
547	SN
5470	SN
548	SN
5482	SN
55	SN
55.4	SN
55.8	SN
550	SN
5500	SN
551	SN
5516	SN
552	SN
5522	SN
5550	SN
556	SN
5560	SN
5561	SN
557	SN
5580	SN
56	SN
56.2	SN
56.3	SN
56.5	SN
56.6	SN
56.7	SN
56.9	SN
560	SN
561	SN
5611	SN
5621	SN
563	SN
5637	SN
564	SN
5640	SN
5641	SN
565	SN
5659	SN
566.27	SN
5660	SN
567	SN
567.14	SN
568	SN
569	SN
57	SN
57.1	SN
57.5	SN
57.6	SN
57.7	SN
57.9	SN
570	SN
5700	SN
5710	SN
572	SN
5721	SN
573	SN
5736	SN
575	SN
576	SN
5760	SN
577	SN
5773	SN
578	SN
5782	SN
579	SN
5790	SN
58	SN
58.1	SN
58.5	SN
58.7	SN
58.8	SN
58.9	SN
580	SN
5800	SN
581	SN
582	SN
583	SN
585	SN
587	SN
588	SN
5888	SN
589	SN
59	SN
59.1	SN
59.3	SN
59.4	SN
59.5	SN
59.6	SN
59.7	SN
59.8	SN
59.9	SN
590	SN
5900	SN
591	SN
5929	SN
594	SN
5950	SN
5961	SN
597	SN
599	SN
6	SN
6,000	SN
6,025	SN
6,100	SN
6,300	SN
6,400	SN
6,440	SN
6,728	SN
6,800	SN
6,897	SN
6.0	SN
6.02	SN
6.1	SN
6.10	SN
6.2	SN
6.21	SN
6.25	SN
6.27	SN
6.29	SN
6.3	SN
6.4	SN
6.44	SN
6.5	SN
6.52	SN
6.53	SN
6.6	SN
6.625	SN
6.7	SN
6.73	SN
6.8	SN
6.86	SN
6.9	SN
60	SN
60.3	SN
60.4	SN
60.5	SN
60.8	SN
600	SN
6000	SN
6006	SN
602	SN
604	SN
604.42	SN
6044	SN
605	SN
606	SN
607	SN
608	SN
6080	SN
6084	SN
61	SN
61.0	SN
61.60	SN
61.8	SN
610	SN
611	SN
6113	SN
6114	SN
612	SN
614	SN
615	SN
617	SN
618	SN
6185	SN
62	SN
62.2	SN
62.3	SN
62.8	SN
62.9	SN
620	SN
621	SN
622	SN
6239	SN
624	SN
625	SN
626	SN
627	SN
629	SN
63	SN
63.0	SN
63.1	SN
63.6	SN
63.625	SN
630	SN
631	SN
6335	SN
634	SN
635	SN
635.64	SN
636	SN
637	SN
638	SN
639	SN
64	SN
64.4	SN
64.6	SN
64.7	SN
64.8	SN
640	SN
6400	SN
6403	SN
642	SN
643	SN
643.32	SN
6432	SN
6433	SN
644	SN
645	SN
6455	SN
646	SN
647	SN
6487	SN
65	SN
65.3	SN
65.38	SN
65.4	SN
65.5	SN
65.6	SN
650	SN
6500	SN
651	SN
652	SN
654	SN
656	SN
657	SN
6573	SN
658	SN
659	SN
66	SN
66.0	SN
66.1	SN
66.6	SN
66.7	SN
660	SN
6600	SN
661	SN
6613	SN
662	SN
663	SN
6638	SN
666	SN
667	SN
668	SN
67	SN
67.1	SN
67.2	SN
67.3	SN
67.4	SN
67.5	SN
670	SN
6700	SN
672	SN
674	SN
675	SN
6750	SN
676	SN
677	SN
678	SN
679	SN
68	SN
68.0	SN
68.4	SN
68.6	SN
68.75	SN
68.8	SN
680	SN
6800	SN
681	SN
6819	SN
682	SN
684	SN
685	SN
686	SN
687	SN
6881	SN
69	SN
69.1	SN
69.2	SN
69.4	SN
69.6	SN
690	SN
6900	SN
691	SN
6912	SN
692	SN
694	SN
695	SN
696	SN
6976	SN
698	SN
6999	SN
7	SN
7,000	SN
7,056	SN
7,060	SN
7,241	SN
7,465	SN
7,500	SN
7,600	SN
7,752	SN
7.0	SN
7.1	SN
7.14	SN
7.15	SN
7.16	SN
7.2	SN
7.21	SN
7.23	SN
7.3	SN
7.30	SN
7.35	SN
7.4	SN
7.5	SN
7.50	SN
7.6	SN
7.7	SN
7.8	SN
7.9	SN
7.98	SN
70	SN
70.1	SN
70.4	SN
70.5	SN
70.57	SN
70.65	SN
70.75	SN
70.8	SN
700	SN
7000	SN
7006	SN
701	SN
7013	SN
702	SN
703	SN
704	SN
7040	SN
7060	SN
707	SN
7070	SN
708	SN
709	SN
7090	SN
71	SN
71.1	SN
71.2	SN
71.7	SN
71.78	SN
71.9	SN
710	SN
7100	SN
7104	SN
711	SN
712	SN
7123	SN
7124	SN
714	SN
715	SN
717	SN
717104	SN
719	SN
72	SN
72.3	SN
72.51	SN
72.6	SN
72.64	SN
72.9	SN
720	SN
721	SN
722	SN
723	SN
7237	SN
724	SN
725	SN
7268	SN
727	SN
729	SN
7293	SN
73	SN
73.7	SN
730	SN
7300	SN
731	SN
7319	SN
732	SN
733	SN
7330	SN
734	SN
735	SN
736	SN
7366	SN
737	SN
7372	SN
7376	SN
7378	SN
738	SN
739	SN
7392	SN
74	SN
74.1	SN
74.3	SN
74.4	SN
74.6	SN
74.8	SN
74.9	SN
740	SN
741	SN
743	SN
744	SN
745	SN
7462	SN
747	SN
7471	SN
7474	SN
75	SN
75.1	SN
75.3	SN
75.4	SN
75.5	SN
75.6	SN
75.7	SN
75.8	SN
750	SN
7500	SN
7500493	SN
751	SN
753	SN
7538	SN
754	SN
755	SN
755,200	SN
7557	SN
756	SN
7565	SN
757	SN
7570	SN
758	SN
7590	SN
7593	SN
76	SN
76.0	SN
76.2	SN
76.4	SN
76.7	SN
760	SN
7600	SN
761	SN
762	SN
764	SN
765	SN
766	SN
7670	SN
768	SN
77	SN
77.3	SN
77.5	SN
77.7	SN
77.8	SN
770	SN
7700	SN
771	SN
7718	SN
772	SN
7720	SN
7739	SN
774	SN
7769	SN
777	SN
7778	SN
778	SN
779	SN
78	SN
78.0	SN
78.3	SN
78.4	SN
78.6	SN
78.7	SN
78.9	SN
780	SN
781	SN
7813	SN
783	SN
7830	SN
784	SN
785	SN
786	SN
7860	SN
7861	SN
7862	SN
789	SN
79	SN
79.7	SN
79.9	SN
790	SN
792	SN
793	SN
7944	SN
795	SN
796	SN
797	SN
7973	SN
7984	SN
799	SN
8	SN
8,000	SN
8,472	SN
8,623	SN
8,800	SN
8,848	SN
8,928	SN
8.0	SN
8.1	SN
8.13	SN
8.15	SN
8.19	SN
8.2	SN
8.25	SN
8.3	SN
8.30	SN
8.4	SN
8.5	SN
8.6	SN
8.65	SN
8.7	SN
8.8	SN
8.81	SN
8.9	SN
80	SN
80.2	SN
800	SN
8000	SN
8008	SN
801	SN
802	SN
802.6	SN
803	SN
8033	SN
80386	SN
805	SN
8050	SN
806	SN
8061	SN
807	SN
808	SN
809	SN
8097	SN
81	SN
81.2	SN
813	SN
8134	SN
814	SN
815	SN
816	SN
817	SN
818	SN
82	SN
82.32	SN
82.6	SN
820	SN
8211	SN
8222	SN
824	SN
